Event,Fabric,Color,Style_Persona,Micro_Climate,Suitability_Score,Match_Status
Beach Party,Georgette,Navy Blue,Professional,Outdoor (Humid),0.35,0
Gym/Workout,Silk,Earth Tone,Professional,Outdoor (Humid),0.39,0
Gym/Workout,Cotton,Emerald Green,Bold,Indoor (AC),0.36,0
Beach Party,Polyester,Maroon,Minimalist,Indoor (AC),0.4,0
Traditional Wedding,Silk,White,Bold,Outdoor (Humid),0.6,0
Dinner Gala,Linen,Emerald Green,Professional,Outdoor (Humid),0.54,0
Dinner Gala,Silk,Black,Minimalist,Indoor (AC),0.93,1
Temple Visit,Georgette,Emerald Green,Professional,Outdoor (Humid),0.44,0
Traditional Wedding,Polyester,Navy Blue,Minimalist,Outdoor (Humid),0.28,0
Dinner Gala,Cotton,Earth Tone,Minimalist,Indoor (AC),0.2,0
Dinner Gala,Viscose,Earth Tone,Bold,Indoor (AC),0.22,0
Traditional Wedding,Linen,Maroon,Bold,Indoor (AC),0.16,0
Gym/Workout,Georgette,Black,Professional,Indoor (AC),0.28,0
Dinner Gala,Linen,Earth Tone,Minimalist,Outdoor (Humid),0.74,0
Corporate Meeting,Silk,Earth Tone,Minimalist,Outdoor (Humid),0.46,0
Dinner Gala,Polyester,Black,Minimalist,Outdoor (Humid),0.46,0
Temple Visit,Silk,Black,Bold,Indoor (AC),0.38,0
Beach Party,Georgette,Maroon,Minimalist,Outdoor (Humid),0.26,0
Dinner Gala,Linen,Maroon,Minimalist,Outdoor (Humid),0.8,1
Beach Party,Georgette,Black,Professional,Outdoor (Humid),0.13,0
Corporate Meeting,Cotton,White,Bold,Outdoor (Humid),0.73,0
Pola/Market,Polyester,Maroon,Minimalist,Indoor (AC),0.33,0
Beach Party,Viscose,Earth Tone,Professional,Outdoor (Humid),0.13,0
Gym/Workout,Linen,Navy Blue,Bold,Outdoor (Humid),0.74,0
Pola/Market,Viscose,Black,Bold,Indoor (AC),0.44,0
Gym/Workout,Cotton,Emerald Green,Bold,Outdoor (Humid),0.6,0
Gym/Workout,Georgette,Maroon,Professional,Indoor (AC),0.13,0
Corporate Meeting,Silk,Emerald Green,Bold,Outdoor (Humid),0.43,0
Traditional Wedding,Silk,Navy Blue,Minimalist,Indoor (AC),1.0,1
Dinner Gala,Silk,Earth Tone,Minimalist,Outdoor (Humid),0.78,1
Corporate Meeting,Polyester,Navy Blue,Minimalist,Outdoor (Humid),0.16,0
Gym/Workout,Polyester,White,Professional,Indoor (AC),0.12,0
Temple Visit,Polyester,Earth Tone,Minimalist,Outdoor (Humid),0.19,0
Pola/Market,Silk,Navy Blue,Bold,Indoor (AC),0.36,0
Pola/Market,Polyester,Black,Professional,Indoor (AC),0.12,0
Temple Visit,Viscose,Black,Bold,Indoor (AC),0.48,0
Dinner Gala,Georgette,Navy Blue,Bold,Indoor (AC),0.62,0
Temple Visit,Polyester,Earth Tone,Professional,Outdoor (Humid),0.49,0
Traditional Wedding,Polyester,Black,Minimalist,Outdoor (Humid),0.25,0
Traditional Wedding,Polyester,Earth Tone,Professional,Outdoor (Humid),0.13,0
Traditional Wedding,Linen,Navy Blue,Bold,Outdoor (Humid),0.75,1
Traditional Wedding,Silk,Earth Tone,Minimalist,Indoor (AC),0.97,1
Corporate Meeting,Georgette,White,Bold,Indoor (AC),0.42,0
Dinner Gala,Linen,Black,Minimalist,Outdoor (Humid),0.74,0
Dinner Gala,Linen,Navy Blue,Minimalist,Indoor (AC),0.5,0
Temple Visit,Cotton,White,Professional,Indoor (AC),0.21,0
Corporate Meeting,Viscose,White,Professional,Outdoor (Humid),0.41,0
Beach Party,Georgette,Black,Bold,Indoor (AC),0.41,0
Dinner Gala,Georgette,Navy Blue,Bold,Indoor (AC),0.9,1
Gym/Workout,Viscose,Emerald Green,Professional,Outdoor (Humid),0.2,0
Beach Party,Viscose,Emerald Green,Professional,Outdoor (Humid),0.41,0
Corporate Meeting,Viscose,Navy Blue,Minimalist,Indoor (AC),0.42,0
Pola/Market,Silk,Emerald Green,Bold,Outdoor (Humid),0.45,0
Gym/Workout,Polyester,Navy Blue,Professional,Indoor (AC),0.36,0
Corporate Meeting,Viscose,Emerald Green,Professional,Outdoor (Humid),0.54,0
Traditional Wedding,Linen,Emerald Green,Bold,Outdoor (Humid),0.71,0
Temple Visit,Polyester,Earth Tone,Minimalist,Outdoor (Humid),0.32,0
Traditional Wedding,Georgette,Maroon,Professional,Indoor (AC),0.87,1
Pola/Market,Silk,Black,Professional,Outdoor (Humid),0.25,0
Traditional Wedding,Georgette,Maroon,Minimalist,Outdoor (Humid),0.59,0
Dinner Gala,Polyester,Black,Professional,Outdoor (Humid),0.41,0
Beach Party,Cotton,Maroon,Professional,Outdoor (Humid),0.59,0
Traditional Wedding,Polyester,White,Professional,Outdoor (Humid),0.48,0
Temple Visit,Linen,Navy Blue,Bold,Outdoor (Humid),0.85,1
Gym/Workout,Linen,Black,Professional,Outdoor (Humid),0.87,1
Corporate Meeting,Cotton,Maroon,Bold,Indoor (AC),0.11,0
Dinner Gala,Silk,Navy Blue,Bold,Outdoor (Humid),0.76,1
Pola/Market,Viscose,White,Bold,Indoor (AC),0.2,0
Traditional Wedding,Viscose,Navy Blue,Minimalist,Outdoor (Humid),0.23,0
Temple Visit,Viscose,Black,Minimalist,Indoor (AC),0.32,0
Gym/Workout,Viscose,Navy Blue,Professional,Outdoor (Humid),0.3,0
Dinner Gala,Polyester,Earth Tone,Bold,Indoor (AC),0.16,0
Pola/Market,Linen,Maroon,Professional,Outdoor (Humid),0.59,0
Dinner Gala,Polyester,Navy Blue,Bold,Indoor (AC),0.32,0
Temple Visit,Georgette,Black,Bold,Indoor (AC),0.14,0
Traditional Wedding,Viscose,Black,Professional,Indoor (AC),0.49,0
Corporate Meeting,Silk,White,Professional,Outdoor (Humid),0.59,0
Gym/Workout,Polyester,Earth Tone,Professional,Outdoor (Humid),0.41,0
Gym/Workout,Polyester,Earth Tone,Professional,Outdoor (Humid),0.14,0
Pola/Market,Georgette,Black,Professional,Outdoor (Humid),0.32,0
Corporate Meeting,Polyester,Earth Tone,Minimalist,Outdoor (Humid),0.42,0
Corporate Meeting,Linen,Earth Tone,Professional,Outdoor (Humid),1.0,1
Temple Visit,Linen,Maroon,Minimalist,Outdoor (Humid),0.53,0
Traditional Wedding,Cotton,Navy Blue,Bold,Outdoor (Humid),0.64,0
Corporate Meeting,Cotton,Black,Minimalist,Outdoor (Humid),0.83,1
Dinner Gala,Polyester,Navy Blue,Professional,Outdoor (Humid),0.32,0
Pola/Market,Polyester,Emerald Green,Professional,Outdoor (Humid),0.15,0
Temple Visit,Cotton,Emerald Green,Bold,Indoor (AC),0.47,0
Gym/Workout,Viscose,Earth Tone,Minimalist,Outdoor (Humid),0.18,0
Beach Party,Cotton,Maroon,Minimalist,Indoor (AC),0.47,0
Temple Visit,Georgette,Emerald Green,Professional,Indoor (AC),0.45,0
Beach Party,Silk,Maroon,Minimalist,Outdoor (Humid),0.29,0
Beach Party,Viscose,Navy Blue,Professional,Outdoor (Humid),0.4,0
Pola/Market,Cotton,Maroon,Professional,Outdoor (Humid),0.87,1
Beach Party,Linen,Earth Tone,Bold,Indoor (AC),0.16,0
Beach Party,Viscose,Navy Blue,Bold,Outdoor (Humid),0.33,0
Gym/Workout,Georgette,Maroon,Professional,Outdoor (Humid),0.5,0
Temple Visit,Linen,Emerald Green,Bold,Indoor (AC),0.25,0
Dinner Gala,Cotton,Maroon,Professional,Indoor (AC),0.28,0
Dinner Gala,Viscose,Navy Blue,Minimalist,Outdoor (Humid),0.39,0
Dinner Gala,Linen,White,Minimalist,Outdoor (Humid),0.89,1
Dinner Gala,Cotton,Navy Blue,Minimalist,Indoor (AC),0.33,0
Traditional Wedding,Viscose,Maroon,Bold,Outdoor (Humid),0.4,0
Pola/Market,Silk,Maroon,Professional,Indoor (AC),0.33,0
Temple Visit,Viscose,Maroon,Bold,Outdoor (Humid),0.23,0
Corporate Meeting,Silk,Navy Blue,Professional,Indoor (AC),0.92,1
Pola/Market,Linen,Earth Tone,Bold,Indoor (AC),0.47,0
Gym/Workout,Polyester,Black,Professional,Outdoor (Humid),0.42,0
Traditional Wedding,Cotton,White,Professional,Indoor (AC),0.17,0
Temple Visit,Cotton,Emerald Green,Professional,Outdoor (Humid),0.54,0
Pola/Market,Georgette,Maroon,Bold,Indoor (AC),0.37,0
Dinner Gala,Georgette,Navy Blue,Minimalist,Indoor (AC),0.69,0
Corporate Meeting,Cotton,Maroon,Minimalist,Outdoor (Humid),0.62,0
Corporate Meeting,Georgette,Earth Tone,Minimalist,Outdoor (Humid),0.46,0
Temple Visit,Cotton,Emerald Green,Minimalist,Outdoor (Humid),0.59,0
Traditional Wedding,Silk,Navy Blue,Minimalist,Indoor (AC),1.0,1
Temple Visit,Silk,Navy Blue,Bold,Indoor (AC),0.39,0
Corporate Meeting,Cotton,Black,Minimalist,Indoor (AC),0.48,0
Gym/Workout,Linen,Maroon,Bold,Outdoor (Humid),0.77,1
Dinner Gala,Polyester,Navy Blue,Bold,Indoor (AC),0.38,0
Gym/Workout,Viscose,Earth Tone,Professional,Indoor (AC),0.2,0
Gym/Workout,Viscose,Navy Blue,Minimalist,Indoor (AC),0.23,0
Corporate Meeting,Linen,Earth Tone,Minimalist,Indoor (AC),0.11,0
Dinner Gala,Linen,Black,Minimalist,Indoor (AC),0.19,0
Temple Visit,Linen,Emerald Green,Professional,Outdoor (Humid),0.89,1
Pola/Market,Cotton,Emerald Green,Bold,Indoor (AC),0.11,0
Beach Party,Viscose,Black,Minimalist,Indoor (AC),0.5,0
Gym/Workout,Viscose,Maroon,Bold,Outdoor (Humid),0.35,0
Beach Party,Georgette,Black,Minimalist,Outdoor (Humid),0.35,0
Pola/Market,Georgette,Black,Bold,Outdoor (Humid),0.14,0
Beach Party,Polyester,Navy Blue,Professional,Outdoor (Humid),0.31,0
Gym/Workout,Georgette,Emerald Green,Minimalist,Outdoor (Humid),0.3,0
Beach Party,Linen,Black,Bold,Outdoor (Humid),0.59,0
Pola/Market,Linen,White,Minimalist,Outdoor (Humid),0.75,1
Dinner Gala,Cotton,Maroon,Bold,Indoor (AC),0.47,0
Corporate Meeting,Linen,Earth Tone,Minimalist,Indoor (AC),0.25,0
Temple Visit,Polyester,Black,Professional,Indoor (AC),0.29,0
Gym/Workout,Silk,Navy Blue,Professional,Indoor (AC),0.56,0
Traditional Wedding,Polyester,Black,Professional,Outdoor (Humid),0.26,0
Beach Party,Georgette,White,Minimalist,Outdoor (Humid),0.41,0
Pola/Market,Silk,Navy Blue,Minimalist,Outdoor (Humid),0.18,0
Gym/Workout,Linen,Emerald Green,Bold,Indoor (AC),0.11,0
Gym/Workout,Linen,Earth Tone,Minimalist,Outdoor (Humid),0.77,1
Beach Party,Silk,Navy Blue,Professional,Outdoor (Humid),0.46,0
Beach Party,Viscose,Emerald Green,Bold,Indoor (AC),0.33,0
Temple Visit,Polyester,Earth Tone,Minimalist,Indoor (AC),0.15,0
Temple Visit,Georgette,Emerald Green,Bold,Outdoor (Humid),0.21,0
Pola/Market,Polyester,Black,Bold,Outdoor (Humid),0.41,0
Corporate Meeting,Viscose,Navy Blue,Bold,Outdoor (Humid),0.39,0
Gym/Workout,Georgette,Maroon,Bold,Outdoor (Humid),0.4,0
Dinner Gala,Polyester,Navy Blue,Professional,Outdoor (Humid),0.16,0
Traditional Wedding,Viscose,Earth Tone,Minimalist,Indoor (AC),0.37,0
Pola/Market,Viscose,Emerald Green,Bold,Outdoor (Humid),0.47,0
Gym/Workout,Polyester,Emerald Green,Bold,Outdoor (Humid),0.46,0
Temple Visit,Silk,Earth Tone,Minimalist,Outdoor (Humid),0.39,0
Corporate Meeting,Silk,Earth Tone,Bold,Indoor (AC),0.49,0
Beach Party,Linen,Maroon,Bold,Outdoor (Humid),0.75,1
Dinner Gala,Georgette,Navy Blue,Bold,Outdoor (Humid),0.77,1
Traditional Wedding,Cotton,Maroon,Bold,Indoor (AC),0.21,0
Temple Visit,Cotton,Black,Minimalist,Outdoor (Humid),0.58,0
Beach Party,Silk,Emerald Green,Bold,Outdoor (Humid),0.15,0
Temple Visit,Viscose,Emerald Green,Minimalist,Indoor (AC),0.25,0
Dinner Gala,Cotton,Navy Blue,Professional,Outdoor (Humid),0.82,1
Traditional Wedding,Linen,Black,Bold,Indoor (AC),0.44,0
Pola/Market,Viscose,Earth Tone,Professional,Indoor (AC),0.39,0
Corporate Meeting,Viscose,Maroon,Professional,Indoor (AC),0.72,0
Temple Visit,Viscose,Black,Professional,Outdoor (Humid),0.46,0
Beach Party,Polyester,Navy Blue,Bold,Outdoor (Humid),0.19,0
Dinner Gala,Silk,White,Professional,Indoor (AC),0.79,1
Temple Visit,Viscose,Navy Blue,Bold,Indoor (AC),0.11,0
Temple Visit,Viscose,Navy Blue,Professional,Indoor (AC),0.46,0
Dinner Gala,Polyester,White,Minimalist,Outdoor (Humid),0.18,0
Temple Visit,Linen,Navy Blue,Professional,Outdoor (Humid),0.64,0
Beach Party,Linen,Earth Tone,Professional,Indoor (AC),0.34,0
Dinner Gala,Cotton,Navy Blue,Minimalist,Indoor (AC),0.21,0
Beach Party,Linen,Maroon,Minimalist,Indoor (AC),0.42,0
Temple Visit,Cotton,Emerald Green,Professional,Indoor (AC),0.34,0
Gym/Workout,Silk,Black,Bold,Outdoor (Humid),0.5,0
Beach Party,Polyester,Emerald Green,Professional,Indoor (AC),0.28,0
Beach Party,Georgette,Navy Blue,Minimalist,Outdoor (Humid),0.48,0
Gym/Workout,Linen,Earth Tone,Bold,Indoor (AC),0.12,0
Pola/Market,Linen,Black,Minimalist,Outdoor (Humid),0.52,0
Dinner Gala,Silk,Navy Blue,Minimalist,Indoor (AC),0.82,1
Dinner Gala,Polyester,Emerald Green,Bold,Indoor (AC),0.31,0
Traditional Wedding,Linen,White,Minimalist,Indoor (AC),0.3,0
Dinner Gala,Georgette,White,Minimalist,Indoor (AC),0.62,0
Dinner Gala,Viscose,White,Professional,Indoor (AC),0.37,0
Dinner Gala,Silk,Emerald Green,Minimalist,Indoor (AC),0.95,1
Pola/Market,Georgette,Black,Bold,Indoor (AC),0.33,0
Gym/Workout,Cotton,White,Bold,Indoor (AC),0.27,0
Corporate Meeting,Cotton,Emerald Green,Bold,Outdoor (Humid),0.61,0
Temple Visit,Linen,Earth Tone,Bold,Outdoor (Humid),0.77,1
Beach Party,Linen,Maroon,Professional,Indoor (AC),0.17,0
Gym/Workout,Georgette,Navy Blue,Minimalist,Outdoor (Humid),0.34,0
Dinner Gala,Cotton,Black,Bold,Indoor (AC),0.42,0
Gym/Workout,Silk,Black,Professional,Outdoor (Humid),0.25,0
Gym/Workout,Cotton,Earth Tone,Professional,Indoor (AC),0.11,0
Gym/Workout,Viscose,White,Minimalist,Indoor (AC),0.47,0
Dinner Gala,Linen,Emerald Green,Professional,Outdoor (Humid),0.56,0
Gym/Workout,Cotton,Black,Minimalist,Indoor (AC),0.3,0
Corporate Meeting,Cotton,Black,Professional,Indoor (AC),0.4,0
Temple Visit,Georgette,Navy Blue,Minimalist,Indoor (AC),0.17,0
Temple Visit,Silk,White,Professional,Outdoor (Humid),0.25,0
Gym/Workout,Polyester,Earth Tone,Bold,Indoor (AC),0.15,0
Beach Party,Viscose,White,Bold,Outdoor (Humid),0.25,0
Temple Visit,Silk,Maroon,Minimalist,Outdoor (Humid),0.47,0
Dinner Gala,Linen,Black,Bold,Outdoor (Humid),0.55,0
Dinner Gala,Georgette,Maroon,Bold,Indoor (AC),0.73,0
Temple Visit,Polyester,White,Bold,Indoor (AC),0.14,0
Temple Visit,Silk,Black,Bold,Outdoor (Humid),0.34,0
Traditional Wedding,Cotton,Navy Blue,Professional,Outdoor (Humid),0.7,0
Dinner Gala,Silk,Black,Professional,Indoor (AC),0.98,1
Dinner Gala,Silk,Black,Minimalist,Outdoor (Humid),0.65,0
Gym/Workout,Viscose,Earth Tone,Bold,Outdoor (Humid),0.17,0
Pola/Market,Viscose,Black,Minimalist,Indoor (AC),0.28,0
Beach Party,Silk,Black,Professional,Outdoor (Humid),0.33,0
Gym/Workout,Georgette,Earth Tone,Professional,Indoor (AC),0.41,0
Temple Visit,Silk,Maroon,Professional,Outdoor (Humid),0.24,0
Corporate Meeting,Viscose,Maroon,Bold,Indoor (AC),0.39,0
Dinner Gala,Silk,White,Professional,Indoor (AC),0.71,0
Beach Party,Viscose,Navy Blue,Professional,Indoor (AC),0.36,0
Traditional Wedding,Cotton,Maroon,Minimalist,Indoor (AC),0.41,0
Traditional Wedding,Viscose,White,Bold,Indoor (AC),0.16,0
Beach Party,Silk,Maroon,Professional,Indoor (AC),0.64,0
Beach Party,Cotton,Navy Blue,Professional,Outdoor (Humid),0.69,0
Beach Party,Cotton,Earth Tone,Minimalist,Outdoor (Humid),0.73,0
Dinner Gala,Cotton,Maroon,Minimalist,Indoor (AC),0.12,0
Dinner Gala,Silk,Black,Minimalist,Indoor (AC),0.82,1
Corporate Meeting,Viscose,Navy Blue,Bold,Indoor (AC),0.33,0
Gym/Workout,Georgette,Navy Blue,Professional,Outdoor (Humid),0.25,0
Corporate Meeting,Polyester,Maroon,Professional,Indoor (AC),0.71,0
Temple Visit,Polyester,Emerald Green,Professional,Indoor (AC),0.47,0
Beach Party,Polyester,Navy Blue,Professional,Outdoor (Humid),0.28,0
Beach Party,Cotton,Earth Tone,Bold,Indoor (AC),0.35,0
Temple Visit,Viscose,Navy Blue,Professional,Outdoor (Humid),0.13,0
Traditional Wedding,Cotton,Emerald Green,Bold,Indoor (AC),0.46,0
Corporate Meeting,Cotton,Black,Professional,Indoor (AC),0.79,1
Temple Visit,Silk,Earth Tone,Minimalist,Indoor (AC),0.52,0
Temple Visit,Silk,Maroon,Bold,Indoor (AC),0.63,0
Corporate Meeting,Linen,Emerald Green,Bold,Outdoor (Humid),0.6,0
Pola/Market,Silk,Maroon,Professional,Indoor (AC),0.32,0
Traditional Wedding,Silk,White,Bold,Indoor (AC),1.0,1
Pola/Market,Georgette,White,Minimalist,Outdoor (Humid),0.27,0
Gym/Workout,Polyester,Earth Tone,Minimalist,Indoor (AC),0.24,0
Beach Party,Linen,Navy Blue,Professional,Indoor (AC),0.39,0
Beach Party,Viscose,Earth Tone,Minimalist,Outdoor (Humid),0.12,0
Temple Visit,Polyester,Maroon,Professional,Indoor (AC),0.26,0
Dinner Gala,Polyester,Black,Professional,Indoor (AC),0.3,0
Pola/Market,Linen,Black,Minimalist,Outdoor (Humid),0.74,0
Beach Party,Cotton,Earth Tone,Minimalist,Outdoor (Humid),0.87,1
Gym/Workout,Cotton,Black,Minimalist,Indoor (AC),0.37,0
Corporate Meeting,Georgette,Emerald Green,Bold,Indoor (AC),0.35,0
Temple Visit,Linen,Emerald Green,Minimalist,Indoor (AC),0.35,0
Gym/Workout,Linen,Maroon,Professional,Indoor (AC),0.26,0
Corporate Meeting,Polyester,Black,Minimalist,Outdoor (Humid),0.44,0
Traditional Wedding,Linen,Maroon,Minimalist,Outdoor (Humid),0.62,0
Beach Party,Cotton,White,Bold,Outdoor (Humid),0.85,1
Gym/Workout,Viscose,Navy Blue,Professional,Outdoor (Humid),0.47,0
Dinner Gala,Georgette,Black,Minimalist,Outdoor (Humid),0.73,0
Traditional Wedding,Cotton,Emerald Green,Bold,Outdoor (Humid),0.8,1
Traditional Wedding,Georgette,Navy Blue,Professional,Outdoor (Humid),0.74,0
Beach Party,Silk,White,Bold,Outdoor (Humid),0.49,0
Temple Visit,Georgette,Navy Blue,Bold,Outdoor (Humid),0.25,0
Corporate Meeting,Polyester,Black,Professional,Indoor (AC),0.67,0
Beach Party,Silk,White,Minimalist,Indoor (AC),0.34,0
Temple Visit,Viscose,White,Minimalist,Outdoor (Humid),0.21,0
Corporate Meeting,Silk,Maroon,Bold,Outdoor (Humid),0.19,0
Traditional Wedding,Viscose,Navy Blue,Bold,Indoor (AC),0.42,0
Pola/Market,Georgette,Maroon,Minimalist,Indoor (AC),0.44,0
Beach Party,Cotton,Black,Bold,Outdoor (Humid),0.86,1
Corporate Meeting,Cotton,Black,Professional,Outdoor (Humid),1.0,1
Temple Visit,Viscose,Navy Blue,Professional,Indoor (AC),0.35,0
Corporate Meeting,Polyester,Emerald Green,Bold,Outdoor (Humid),0.21,0
Dinner Gala,Viscose,Maroon,Bold,Outdoor (Humid),0.27,0
Traditional Wedding,Cotton,Maroon,Professional,Outdoor (Humid),0.52,0
Corporate Meeting,Silk,Navy Blue,Bold,Outdoor (Humid),0.14,0
Traditional Wedding,Polyester,Navy Blue,Minimalist,Outdoor (Humid),0.43,0
Corporate Meeting,Viscose,White,Minimalist,Outdoor (Humid),0.49,0
Traditional Wedding,Polyester,Navy Blue,Bold,Indoor (AC),0.3,0
Temple Visit,Georgette,Emerald Green,Bold,Outdoor (Humid),0.1,0
Gym/Workout,Silk,Black,Professional,Outdoor (Humid),0.3,0
Dinner Gala,Viscose,Navy Blue,Bold,Indoor (AC),0.14,0
Temple Visit,Linen,Maroon,Professional,Outdoor (Humid),0.51,0
Beach Party,Viscose,Black,Minimalist,Outdoor (Humid),0.36,0
Corporate Meeting,Georgette,White,Bold,Indoor (AC),0.15,0
Gym/Workout,Linen,White,Bold,Outdoor (Humid),0.75,1
Dinner Gala,Georgette,Maroon,Bold,Indoor (AC),0.79,1
Pola/Market,Viscose,Maroon,Professional,Indoor (AC),0.15,0
Corporate Meeting,Georgette,White,Professional,Indoor (AC),0.7,0
Pola/Market,Linen,Earth Tone,Bold,Outdoor (Humid),0.6,0
Dinner Gala,Georgette,Maroon,Professional,Outdoor (Humid),0.58,0
Beach Party,Polyester,Navy Blue,Minimalist,Indoor (AC),0.44,0
Gym/Workout,Cotton,Navy Blue,Professional,Indoor (AC),0.15,0
Gym/Workout,Polyester,Earth Tone,Minimalist,Indoor (AC),0.41,0
Traditional Wedding,Georgette,Earth Tone,Professional,Indoor (AC),0.85,1
Gym/Workout,Polyester,Emerald Green,Professional,Indoor (AC),0.36,0
Corporate Meeting,Silk,Emerald Green,Bold,Indoor (AC),0.51,0
Dinner Gala,Linen,Earth Tone,Professional,Outdoor (Humid),0.86,1
Temple Visit,Viscose,Black,Minimalist,Outdoor (Humid),0.24,0
Pola/Market,Viscose,Emerald Green,Bold,Indoor (AC),0.16,0
Pola/Market,Linen,White,Minimalist,Outdoor (Humid),0.73,0
Temple Visit,Polyester,Maroon,Minimalist,Outdoor (Humid),0.24,0
Traditional Wedding,Silk,Navy Blue,Bold,Outdoor (Humid),0.87,1
Temple Visit,Polyester,Black,Minimalist,Indoor (AC),0.37,0
Temple Visit,Cotton,Earth Tone,Bold,Indoor (AC),0.13,0
Dinner Gala,Cotton,Maroon,Minimalist,Indoor (AC),0.41,0
Pola/Market,Linen,Black,Bold,Outdoor (Humid),0.53,0
Traditional Wedding,Polyester,White,Bold,Outdoor (Humid),0.41,0
Gym/Workout,Cotton,Maroon,Bold,Indoor (AC),0.16,0
Dinner Gala,Cotton,Navy Blue,Minimalist,Outdoor (Humid),0.62,0
Gym/Workout,Silk,White,Minimalist,Indoor (AC),0.4,0
Pola/Market,Silk,Earth Tone,Professional,Outdoor (Humid),0.26,0
Gym/Workout,Polyester,Emerald Green,Minimalist,Indoor (AC),0.29,0
Corporate Meeting,Georgette,Black,Professional,Indoor (AC),0.53,0
Pola/Market,Georgette,Black,Minimalist,Indoor (AC),0.38,0
Beach Party,Cotton,Navy Blue,Professional,Outdoor (Humid),0.62,0
Dinner Gala,Cotton,Navy Blue,Bold,Indoor (AC),0.16,0
Temple Visit,Viscose,Earth Tone,Professional,Indoor (AC),0.1,0
Gym/Workout,Georgette,Maroon,Bold,Indoor (AC),0.28,0
Temple Visit,Georgette,Black,Professional,Outdoor (Humid),0.18,0
Gym/Workout,Linen,Navy Blue,Professional,Indoor (AC),0.26,0
Traditional Wedding,Cotton,Maroon,Bold,Outdoor (Humid),0.63,0
Gym/Workout,Silk,Navy Blue,Bold,Indoor (AC),0.34,0
Gym/Workout,Viscose,Emerald Green,Bold,Outdoor (Humid),0.29,0
Traditional Wedding,Georgette,Maroon,Bold,Outdoor (Humid),0.54,0
Gym/Workout,Linen,Black,Professional,Indoor (AC),0.37,0
Pola/Market,Linen,Maroon,Professional,Outdoor (Humid),0.62,0
Beach Party,Silk,Black,Professional,Outdoor (Humid),0.11,0
Temple Visit,Viscose,White,Bold,Outdoor (Humid),0.1,0
Temple Visit,Linen,Black,Minimalist,Indoor (AC),0.23,0
Corporate Meeting,Silk,Emerald Green,Professional,Outdoor (Humid),0.48,0
Dinner Gala,Cotton,Black,Minimalist,Outdoor (Humid),0.54,0
Beach Party,Georgette,White,Bold,Indoor (AC),0.44,0
Dinner Gala,Cotton,Emerald Green,Minimalist,Outdoor (Humid),0.67,0
Dinner Gala,Polyester,Navy Blue,Professional,Indoor (AC),0.16,0
Temple Visit,Viscose,White,Minimalist,Indoor (AC),0.38,0
Pola/Market,Linen,White,Professional,Indoor (AC),0.1,0
Corporate Meeting,Cotton,Navy Blue,Minimalist,Outdoor (Humid),0.84,1
Traditional Wedding,Silk,Maroon,Bold,Outdoor (Humid),0.85,1
Gym/Workout,Silk,Emerald Green,Professional,Indoor (AC),0.4,0
Traditional Wedding,Linen,Black,Bold,Indoor (AC),0.3,0
Gym/Workout,Silk,Black,Professional,Indoor (AC),0.42,0
Beach Party,Georgette,Earth Tone,Professional,Indoor (AC),0.32,0
Pola/Market,Linen,Earth Tone,Minimalist,Indoor (AC),0.19,0
Pola/Market,Cotton,Black,Professional,Indoor (AC),0.5,0
Gym/Workout,Linen,Maroon,Professional,Outdoor (Humid),0.58,0
Traditional Wedding,Polyester,Earth Tone,Bold,Outdoor (Humid),0.34,0
Dinner Gala,Cotton,Black,Professional,Outdoor (Humid),0.61,0
Corporate Meeting,Silk,Emerald Green,Professional,Outdoor (Humid),0.41,0
Gym/Workout,Linen,Black,Professional,Outdoor (Humid),0.55,0
Pola/Market,Polyester,Navy Blue,Professional,Indoor (AC),0.22,0
Pola/Market,Viscose,Earth Tone,Professional,Outdoor (Humid),0.35,0
Beach Party,Linen,Navy Blue,Professional,Indoor (AC),0.35,0
Dinner Gala,Polyester,White,Minimalist,Indoor (AC),0.44,0
Pola/Market,Cotton,Black,Professional,Outdoor (Humid),0.65,0
Dinner Gala,Silk,Black,Bold,Outdoor (Humid),0.63,0
Beach Party,Viscose,White,Bold,Outdoor (Humid),0.21,0
Gym/Workout,Viscose,White,Minimalist,Outdoor (Humid),0.34,0
Dinner Gala,Georgette,Black,Minimalist,Outdoor (Humid),0.58,0
Traditional Wedding,Linen,Black,Minimalist,Indoor (AC),0.46,0
Traditional Wedding,Linen,Navy Blue,Bold,Outdoor (Humid),0.77,1
Temple Visit,Polyester,Emerald Green,Bold,Indoor (AC),0.16,0
Pola/Market,Cotton,Maroon,Bold,Indoor (AC),0.18,0
Temple Visit,Viscose,White,Bold,Indoor (AC),0.38,0
Traditional Wedding,Cotton,White,Professional,Indoor (AC),0.19,0
Pola/Market,Viscose,Black,Professional,Indoor (AC),0.14,0
Dinner Gala,Cotton,Emerald Green,Professional,Outdoor (Humid),0.77,1
Dinner Gala,Georgette,Emerald Green,Minimalist,Outdoor (Humid),0.8,1
Gym/Workout,Linen,Earth Tone,Professional,Indoor (AC),0.14,0
Dinner Gala,Polyester,Maroon,Bold,Indoor (AC),0.48,0
Dinner Gala,Polyester,White,Bold,Outdoor (Humid),0.29,0
Temple Visit,Georgette,White,Bold,Outdoor (Humid),0.38,0
Pola/Market,Polyester,White,Professional,Indoor (AC),0.46,0
Traditional Wedding,Silk,White,Bold,Indoor (AC),0.71,0
Beach Party,Cotton,Navy Blue,Bold,Indoor (AC),0.18,0
